;species;subsp;lat;lon;collectionCode;year;basis
175;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
176;Crax fasciolata;NA;-18.3937;-52.6644;EBIRD_MA;2019;GBIF
177;Crax fasciolata;NA;-19.5829;-56.107;EBIRD;2011;GBIF
178;Crax fasciolata;NA;-6.04282;-50.121;EBIRD;2019;GBIF
179;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
180;Crax fasciolata;NA;-18.4855;-52.4221;EBIRD;2019;GBIF
181;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
182;Crax fasciolata;NA;-17.409;-56.8324;EBIRD;2018;GBIF
183;Crax fasciolata;NA;-20.0956;-55.9648;EBIRD_BRA;2019;GBIF
184;Crax fasciolata;NA;-17.3311;-56.5949;EBIRD;2019;GBIF
185;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD;2009;GBIF
186;Crax fasciolata;NA;-7.90663;-48.4528;EBIRD;2019;GBIF
187;Crax fasciolata;NA;-16.9879;-50.6354;EBIRD;2017;GBIF
188;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
189;Crax fasciolata;NA;-9.55556;-55.908;EBIRD;2019;GBIF
190;Crax fasciolata;NA;-16.6207;-56.7353;EBIRD;2019;GBIF
191;Crax fasciolata;NA;-17.0274;-61.8625;EBIRD;2019;GBIF
192;Crax fasciolata;NA;-16.5376;-56.72;EBIRD;2019;GBIF
193;Crax fasciolata;NA;-6.45388;-50.1486;EBIRD;2019;GBIF
194;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
195;Crax fasciolata;NA;-17.1027;-56.943;EBIRD;2019;GBIF
196;Crax fasciolata;NA;-17.9463;-59.9024;EBIRD;1999;GBIF
197;Crax fasciolata;NA;-20.4547;-54.5773;EBIRD;2014;GBIF
198;Crax fasciolata;NA;-20.4547;-54.5773;EBIRD;2019;GBIF
199;Crax fasciolata;NA;-6.08823;-50.0345;EBIRD;2019;GBIF
200;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD_PE;2019;GBIF
201;Crax fasciolata;NA;-17.2826;-56.6988;EBIRD;2019;GBIF
202;Crax fasciolata;NA;-16.6441;-56.7707;EBIRD;2014;GBIF
203;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
204;Crax fasciolata;NA;-19.9526;-56.3044;EBIRD;2019;GBIF
205;Crax fasciolata;NA;-17.2774;-56.6934;EBIRD;2019;GBIF
206;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
207;Crax fasciolata;NA;-17.8329;-57.5542;EBIRD;2016;GBIF
208;Crax fasciolata;NA;-25.3307;-58.6854;EBIRD;2019;GBIF
209;Crax fasciolata;NA;-9.04485;-56.5874;EBIRD;2018;GBIF
210;Crax fasciolata;NA;-10.7347;-49.8567;EBIRD;2011;GBIF
211;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
212;Crax fasciolata;NA;-17.0274;-61.8625;EBIRD;2019;GBIF
